bids_subject	activity_acute_left-DLPFC	activity_acute_left-IFGorb	activity_acute_left-PTL	activity_acute_left-SMA	activity_acute_right-DLPFC	activity_acute_right-IFGorb	activity_subacute_left-DLPFC	activity_subacute_left-IFGorb	activity_subacute_left-PTL	activity_subacute_left-SMA	activity_subacute_right-DLPFC	activity_subacute_right-IFGorb	activity_early-chronic_left-DLPFC	activity_early-chronic_left-IFGorb	activity_early-chronic_left-PTL	activity_early-chronic_left-SMA	activity_early-chronic_right-DLPFC	activity_early-chronic_right-IFGorb	
sub-11	0.01217374761913505	0.5762007243623752	0.16968134019507797	0.36823828150846766	0.525686133437184	0.36323338360839996	-0.10539650071714877	-0.03529207973192083	0.09121057902055163	-0.39136442015368117	-0.33843421208980157	-0.17920555189798015	0.28002569435240415	0.4893324884245911	0.29995700783072016	0.4905241742286752	0.2752189569120044	0.27193688425600654	
sub-12	-0.08877743967075452	0.5554927452213808	0.27358118655906793	0.1193736322849138	0.6678292033422034	0.3037579716329608	0.3714674976175107	0.40643248425342726	0.5541950039592126	0.6848763382610018	0.9753951471511846	0.7038644574448256	0.3468718868437877	0.6004624330412724	0.12907255710946808	0.7394326009292546	-0.08776700242583044	0.1316185401014376	
sub-13	0.8468132785088539	0.31906998580840196	0.3350844038905768	0.7031206770927112	0.3017244421144578	0.1477801592115649	0.015801040128993405	0.13010063304198777	0.22482173004575082	-0.20300133816002391	-0.2620943604595274	-0.015228664419368196	-0.1271670001569792	0.04499408030363555	0.2513467540453555	-0.34407134102905995	-0.7281866109533355	0.0373686204277307	
sub-14	0.09534430939674614	0.1762474231949144	0.00929851816562731	0.14720545187599704	0.05838848155739435	0.08551192572339636	0.20704306238559797	0.006230891103945867	0.1992955926070307	0.20072550258032865	0.0784642808226262	-0.19643380085975518	0.26137068227588955	0.3855608343082494	-0.07000967732581817	-0.06456352326878714	-0.10449457675770527	0.17803552943788506	
sub-15	0.08311033837809997	0.21251513711940956	0.04279400802650949	0.22340780856159462	-0.040770492194701274	0.10276513332626284	-0.3078850027278412	0.5519640227714737	0.4577849418504518	-0.03349648894959239	-0.19925809337565664	0.1519734888931789	-0.13145877743625986	-0.2801602935720208	-0.12107143231207856	-0.5147855930141529	-0.76320159307123	-0.216857280041699	
sub-16	0.7361032263898564	0.21380611179238979	0.2199474592156438	0.5353921407240206	0.052545653991078675	0.4637206276741243	0.05294582575248637	0.13139974764375068	0.07303853178230595	0.3262738307128395	-0.06980364081284046	0.2012290205180597	-0.221278360491176	-0.10330668816849439	-0.19831121505668708	-0.24561715494352884	-0.0920018002758585	0.040439062523463805	
sub-17	-0.25283424208137745	-0.5625155809883888	-0.5984556627258424	-0.2040110888309143	-0.3304535072884627	-0.4040741541869698	-0.07436809962291756	-0.047971951364067233	0.04967270829775987	-0.009800029031878996	-0.2076580618910354	-0.003015944118573249	0.35763367156386217	0.5066322906057313	0.3317095924507776	0.8701712529944782	0.5192722650248293	0.3040548912100667	
sub-18	0.12612721301180277	0.28856163175092	0.06697513168248403	0.07173874664775122	-0.06532268681238336	0.19728051113295422	0.1653264717493146	0.1216423046042817	0.2134441951205033	-0.0056303703804753795	0.07580701719343426	0.0838751852865803	0.1952411116063117	0.20226425962779793	0.1897082780919834	0.1720661268480157	-0.023584343520563027	0.039959392925434496	
sub-19	0.123039775536822	-0.26772737741176555	0.12174105568090661	0.2548004828031705	0.28627802727980456	0.129434660380585	-0.09841683635807086	0.19009455279413073	0.03784082539722773	0.24591804057000935	0.056654158302264564	0.04215168867379052	0.3860895455020502	0.04754128008749117	0.14879182056281068	0.6036610515148269	0.6853871111073112	0.3900475891447295	
sub-20	-0.05642263840224955	0.10981818235423316	0.2824454951238716	-0.0857113268854341	-0.018420558235920263	0.20969602739188506	-0.6062137234088509	-0.6836514976698062	-0.38535160122931733	-0.7374255574360339	-0.8938862628988868	-0.3971059269091843	0.16520616064378413	0.21461629097726595	0.026234582651056052	0.4653641804510129	0.3647670304300877	0.3417281570892148	
